N1_후보풀_전량랭킹_방법검증_최종아님
rank,word,reading,편중도,상위장르,일반빈도zipf,tanos_tag,note
66,着工,ちゃっこう,2.663,행정백서,3.19,N1,행정백서49회/5문서(z+2.66) 논설·행정67회/14문서(z+1.67); 일반빈도낮음→장르부상
67,出生,しゅっしょう,2.661,행정백서,3.83,N1,행정백서213회/9문서(z+2.66) 논설·행정230회/22문서(z+1.51); 일반빈도낮음→장르부상
68,凝らす,こらす,2.66,논설·행정,2.16,N1,논설·행정27회/12문서(z+2.66); 일반빈도낮음→장르부상
69,立法,りっぽう,2.657,논설·행정,3.62,N1,논설·행정773회/24문서(z+2.66) 학술47회/7문서(z+1.65); 일반빈도낮음→장르부상
70,備え付ける,そなえつける,2.654,법률,1.36,N1,법률9회/3문서(z+2.65) 논설·행정13회/4문서(z+2.42); 일반빈도낮음→장르부상
71,自転,じてん,2.648,논설·행정,2.89,N1,논설·행정142회/15문서(z+2.65) 학술8회/4문서(z+1.58) 문학6회/2문서(z+0.90); 일반빈도낮음→장르부상
72,改革,かいかく,2.639,논설·행정,4.38,N1,논설·행정4334회/24문서(z+2.64) 행정백서144회/36문서(z+1.40) 학술49회/13문서(z+0.39)
73,有する,ゆうする,2.638,법률,4.03,N1,법률940회/14문서(z+2.64) 논설·행정763회/24문서(z+2.01) 학술130회/31문서(z+1.70) 행정백서40회/16문서(z+1.03) 문학5회/2문서(z-1.19)
74,重んずる,おもんずる,2.637,논설·행정,1.68,N1,논설·행정18회/16문서(z+2.64) 학술3회/3문서(z+2.37); 일반빈도낮음→장르부상
75,自ずから,おのずから,2.633,문학,1.88,N1,문학8회/2문서(z+2.63) 논설·행정11회/6문서(z+2.30); 일반빈도낮음→장르부상
76,詰る,なじる,2.627,문학,1.74,N1,문학10회/3문서(z+2.63); 일반빈도낮음→장르부상
77,所得,しょとく,2.62,행정백서,4.22,N1,행정백서496회/38문서(z+2.62) 논설·행정2617회/24문서(z+2.55) 학술72회/16문서(z+0.94)
78,指摘,してき,2.619,논설·행정,4.7,N1,논설·행정8788회/24문서(z+2.62) 행정백서276회/42문서(z+1.33) 학술219회/50문서(z+0.95)
79,引き上げる,ひきあげる,2.608,논설·행정,3.53,N1,논설·행정585회/24문서(z+2.61) 행정백서46회/22문서(z+2.02) 학술5회/4문서(z+0.15) 문학9회/3문서(z+0.10); 일반빈도낮음→장르부상
80,決議,けつぎ,2.601,논설·행정,3.77,N1,논설·행정1005회/24문서(z+2.60) 법률103회/6문서(z+1.56) 학술39회/3문서(z+1.25); 일반빈도낮음→장르부상
81,偏る,かたよる,2.597,논설·행정,2.77,N1,논설·행정100회/20문서(z+2.60) 행정백서7회/5문서(z+1.92) 학술9회/8문서(z+1.87); 일반빈도낮음→장르부상
82,深める,ふかめる,2.584,논설·행정,3.4,N1,논설·행정418회/23문서(z+2.58) 학술8회/7문서(z+0.72) 행정백서6회/6문서(z+0.69); 일반빈도낮음→장르부상
83,要する,ようする,2.576,논설·행정,3.82,N1,논설·행정1088회/24문서(z+2.58) 법률209회/13문서(z+1.95) 행정백서21회/14문서(z+0.91) 학술24회/14문서(z+0.81); 일반빈도낮음→장르부상
84,扶養,ふよう,2.567,논설·행정,3.27,N1,논설·행정302회/19문서(z+2.57) 법률49회/4문서(z+1.83) 행정백서7회/3문서(z+1.04); 일반빈도낮음→장르부상
85,促進,そくしん,2.555,논설·행정,4.15,N1,논설·행정2250회/24문서(z+2.56) 행정백서133회/41문서(z+1.74) 학술60회/17문서(z+0.93) 법률33회/9문서(z+0.21)
86,経費,けいひ,2.555,논설·행정,3.91,N1,논설·행정1297회/24문서(z+2.56) 법률114회/4문서(z+1.41) 행정백서12회/6문서(z+0.32) 학술6회/3문서(z-0.36); 일반빈도낮음→장르부상
87,害する,がいする,2.548,법률,3.11,N1,법률99회/11문서(z+2.55) 논설·행정86회/19문서(z+1.96) 학술15회/3문서(z+1.67); 일반빈도낮음→장르부상
88,採決,さいけつ,2.543,논설·행정,3.41,N1,논설·행정415회/23문서(z+2.54); 일반빈도낮음→장르부상
89,冷やかす,ひやかす,2.534,문학,1.86,N1,문학7회/3문서(z+2.53); 일반빈도낮음→장르부상
