N1_후보풀_전량랭킹_방법검증_최종아님
rank,word,reading,편중도,상위장르,일반빈도zipf,tanos_tag,note
985,作り,つくり,0.472,논설·행정,5.0,N1,논설·행정735회/24문서(z+0.47) 학술4회/3문서(z-2.51) 행정백서3회/3문서(z-2.65) 문학4회/3문서(z-3.01)
986,当選,とうせん,0.471,논설·행정,4.58,N1,논설·행정279회/24문서(z+0.47)
987,沈没,ちんぼつ,0.464,논설·행정,3.57,N1,논설·행정27회/9문서(z+0.46) 법률5회/2문서(z-0.16); 일반빈도낮음→장르부상
988,落下,らっか,0.463,논설·행정,4.01,N1,논설·행정74회/13문서(z+0.46)
989,弄る,いじる,0.459,논설·행정,2.97,N1,논설·행정25회/12문서(z+0.46); 일반빈도낮음→장르부상
990,破棄,はき,0.457,논설·행정,3.86,N1,논설·행정52회/13문서(z+0.46) 법률11회/3문서(z-0.08) 학술3회/2문서(z-0.79); 일반빈도낮음→장르부상
991,無茶苦茶,むちゃくちゃ,0.456,논설·행정,3.4,N1,논설·행정18회/11문서(z+0.46); 일반빈도낮음→장르부상
992,武装,ぶそう,0.453,논설·행정,4.39,N1,논설·행정175회/14문서(z+0.45)
993,水源,すいげん,0.452,논설·행정,3.34,N1,논설·행정40회/14문서(z+0.45); 일반빈도낮음→장르부상
994,殆ど,ほとんど,0.451,논설·행정,4.29,N1,논설·행정941회/24문서(z+0.45) 학술137회/51문서(z-0.11) 문학87회/7문서(z-0.93) 행정백서20회/15문서(z-1.41)
995,標語,ひょうご,0.45,학술,3.07,N1,학술3회/2문서(z+0.45); 일반빈도낮음→장르부상
996,遠ざかる,とおざかる,0.45,문학,2.85,N1,문학3회/3문서(z+0.45) 논설·행정3회/3문서(z+0.10); 일반빈도낮음→장르부상
997,非行,ひこう,0.446,법률,3.07,N1,법률8회/6문서(z+0.45) 논설·행정16회/7문서(z+0.41); 일반빈도낮음→장르부상
998,文,ぶん,0.445,학술,4.76,N1,학술127회/23문서(z+0.45) 논설·행정188회/21문서(z-0.08)
999,零れる,こぼれる,0.445,논설·행정,1.81,N1,논설·행정5회/5문서(z+0.45); 일반빈도낮음→장르부상
1000,好調,こうちょう,0.444,행정백서,3.75,N1,행정백서14회/9문서(z+0.44) 논설·행정30회/12문서(z+0.01); 일반빈도낮음→장르부상
1001,纏まり,まとまり,0.438,논설·행정,2.02,N1,논설·행정13회/6문서(z+0.44) 행정백서3회/3문서(z+0.39); 일반빈도낮음→장르부상
1002,欠く,かく,0.436,논설·행정,3.23,N1,논설·행정108회/22문서(z+0.44) 법률42회/9문서(z+0.31) 학술22회/14문서(z+0.12) 행정백서4회/4문서(z-1.01); 일반빈도낮음→장르부상
1003,疑惑,ぎわく,0.435,논설·행정,4.24,N1,논설·행정121회/23문서(z+0.43) 문학8회/2문서(z-1.20)
1004,凝る,こる,0.434,문학,2.58,N1,문학3회/2문서(z+0.43); 일반빈도낮음→장르부상
1005,整列,せいれつ,0.434,학술,3.14,N1,학술3회/3문서(z+0.43); 일반빈도낮음→장르부상
1006,煩わしい,わずらわしい,0.43,논설·행정,2.86,N1,논설·행정5회/4문서(z+0.43); 일반빈도낮음→장르부상
1007,乱れる,みだれる,0.429,논설·행정,3.16,N1,논설·행정10회/7문서(z+0.43); 일반빈도낮음→장르부상
1008,栽培,さいばい,0.428,논설·행정,4.18,N1,논설·행정104회/18문서(z+0.43) 학술3회/3문서(z-1.33)
1009,指揮,しき,0.426,논설·행정,4.49,N1,논설·행정212회/23문서(z+0.43) 법률44회/8문서(z-0.12) 학술5회/4문서(z-1.48)
1010,規約,きやく,0.425,학술,3.99,N1,학술21회/5문서(z+0.43) 법률31회/4문서(z+0.41) 논설·행정24회/10문서(z-0.27); 일반빈도낮음→장르부상
1011,構える,かまえる,0.424,문학,3.43,N1,문학11회/4문서(z+0.42) 논설·행정14회/11문서(z+0.24); 일반빈도낮음→장르부상
1012,拡散,かくさん,0.423,논설·행정,4.37,N1,논설·행정160회/20문서(z+0.42) 학술10회/8문서(z-0.77)
1013,逃れる,のがれる,0.423,논설·행정,3.67,N1,논설·행정32회/13문서(z+0.42) 학술10회/6문서(z+0.42) 문학9회/3문서(z-0.14); 일반빈도낮음→장르부상
1014,犠牲,ぎせい,0.42,논설·행정,4.43,N1,논설·행정183회/23문서(z+0.42) 학술15회/9문서(z-0.57) 문학4회/2문서(z-2.04)
1015,了解,りょうかい,0.417,논설·행정,4.41,N1,논설·행정174회/21문서(z+0.42) 학술4회/4문서(z-1.51)
1016,上陸,じょうりく,0.415,논설·행정,4.08,N1,논설·행정81회/21문서(z+0.41)
1017,兎に角,とにかく,0.415,논설·행정,3.74,N1,논설·행정426회/22문서(z+0.41) 문학47회/5문서(z-0.84); 일반빈도낮음→장르부상
1018,大衆,たいしゅう,0.413,학술,4.09,N1,학술26회/9문서(z+0.41) 논설·행정13회/8문서(z-0.84)
1019,一々,いちいち,0.412,논설·행정,3.04,N1,논설·행정72회/18문서(z+0.41) 문학10회/5문서(z-0.67); 일반빈도낮음→장르부상
1020,街頭,がいとう,0.411,논설·행정,3.62,N1,논설·행정28회/13문서(z+0.41); 일반빈도낮음→장르부상
1021,錯誤,さくご,0.407,논설·행정,3.42,N1,논설·행정34회/12문서(z+0.41) 법률12회/2문서(z+0.21) 학술6회/6문서(z-0.02); 일반빈도낮음→장르부상
1022,採算,さいさん,0.406,논설·행정,3.43,N1,논설·행정122회/21문서(z+0.41); 일반빈도낮음→장르부상
1023,自己,じこ,0.405,학술,4.9,N1,학술167회/41문서(z+0.40) 논설·행정505회/24문서(z+0.37) 법률186회/12문서(z+0.21) 행정백서45회/11문서(z-0.41) 문학8회/3문서(z-2.33)
1024,悲鳴,ひめい,0.404,논설·행정,3.91,N1,논설·행정54회/16문서(z+0.40); 일반빈도낮음→장르부상
1025,抑制,よくせい,0.404,행정백서,4.12,N1,행정백서203회/42문서(z+0.40) 논설·행정556회/24문서(z+0.14) 학술48회/18문서(z-0.84)
1026,一変,いっぺん,0.402,논설·행정,3.48,N1,논설·행정20회/10문서(z+0.40); 일반빈도낮음→장르부상
1027,怯える,おびえる,0.402,논설·행정,3.18,N1,논설·행정10회/4문서(z+0.40); 일반빈도낮음→장르부상
1028,辟易,へきえき,0.401,문학,3.1,N1,문학5회/3문서(z+0.40); 일반빈도낮음→장르부상
1029,一切,いっさい,0.4,논설·행정,4.66,N1,논설·행정302회/24문서(z+0.40) 법률22회/10문서(z-0.85) 학술12회/9문서(z-1.12) 문학10회/2문서(z-1.75)
1030,加味,かみ,0.4,논설·행정,3.21,N1,논설·행정55회/18문서(z+0.40) 행정백서11회/7문서(z+0.24) 학술3회/3문서(z-0.89); 일반빈도낮음→장르부상
1031,細やか,こまやか,0.397,논설·행정,2.96,N1,논설·행정6회/3문서(z+0.40); 일반빈도낮음→장르부상
1032,部,ぶ,0.397,논설·행정,5.4,N1,논설·행정1651회/24문서(z+0.40) 학술231회/55문서(z-0.20) 행정백서28회/8문서(z-1.65) 법률13회/6문서(z-2.34)
1033,咄嗟,とっさ,0.395,문학,3.05,N1,문학7회/4문서(z+0.39); 일반빈도낮음→장르부상
1034,補充,ほじゅう,0.39,법률,3.72,N1,법률20회/4문서(z+0.39) 학술10회/4문서(z+0.18) 논설·행정23회/12문서(z-0.02); 일반빈도낮음→장르부상
1035,暴力,ぼうりょく,0.388,논설·행정,4.5,N1,논설·행정205회/23문서(z+0.39) 학술22회/9문서(z-0.41) 법률19회/7문서(z-0.70) 문학6회/2문서(z-1.86)
1036,海峡,かいきょう,0.388,논설·행정,3.43,N1,논설·행정109회/14문서(z+0.39); 일반빈도낮음→장르부상
1037,廃棄,はいき,0.387,논설·행정,4.22,N1,논설·행정784회/24문서(z+0.39) 학술26회/10문서(z-1.27) 법률4회/3문서(z-2.64)
1038,類推,るいすい,0.386,논설·행정,2.79,N1,논설·행정20회/12문서(z+0.39) 학술3회/3문서(z-0.16); 일반빈도낮음→장르부상
1039,束の間,つかのま,0.382,문학,2.89,N1,문학3회/2문서(z+0.38); 일반빈도낮음→장르부상
1040,漕ぐ,こぐ,0.382,문학,2.73,N1,문학3회/2문서(z+0.38); 일반빈도낮음→장르부상
1041,運輸,うんゆ,0.382,논설·행정,3.43,N1,논설·행정209회/20문서(z+0.38) 행정백서30회/14문서(z-0.03) 법률14회/4문서(z-0.92) 학술4회/4문서(z-1.68); 일반빈도낮음→장르부상
1042,会談,かいだん,0.381,논설·행정,4.03,N1,논설·행정655회/24문서(z+0.38) 행정백서3회/2문서(z-2.66)
1043,剃る,そる,0.378,문학,3.26,N1,문학7회/2문서(z+0.38); 일반빈도낮음→장르부상
1044,踵,かかと,0.378,문학,3.15,N1,문학7회/3문서(z+0.38); 일반빈도낮음→장르부상
1045,肝心,かんじん,0.372,논설·행정,4.05,N1,논설·행정71회/22문서(z+0.37)
1046,天皇,てんのう,0.37,논설·행정,4.43,N1,논설·행정170회/18문서(z+0.37) 학술10회/8문서(z-0.87) 법률3회/3문서(z-1.83)
1047,兎も角,ともかく,0.366,논설·행정,3.74,N1,논설·행정93회/20문서(z+0.37) 문학11회/4문서(z-0.84) 학술4회/3문서(z-1.10); 일반빈도낮음→장르부상
1048,尚更,なおさら,0.366,논설·행정,3.44,N1,논설·행정25회/12문서(z+0.37) 문학3회/2문서(z-0.83); 일반빈도낮음→장르부상
1049,旅券,りょけん,0.366,논설·행정,2.98,N1,논설·행정6회/3문서(z+0.37); 일반빈도낮음→장르부상
1050,育ち,そだち,0.364,논설·행정,4.06,N1,논설·행정72회/13문서(z+0.36)
1051,購買,こうばい,0.364,행정백서,3.67,N1,행정백서16회/11문서(z+0.36) 논설·행정28회/16문서(z-0.20); 일반빈도낮음→장르부상
1052,受け入れ,うけいれ,0.363,논설·행정,4.63,N1,논설·행정267회/23문서(z+0.36) 학술9회/4문서(z-1.29) 행정백서7회/3문서(z-1.35)
1053,判定,はんてい,0.362,논설·행정,4.3,N1,논설·행정125회/15문서(z+0.36) 학술26회/13문서(z+0.05) 법률37회/5문서(z+0.05) 행정백서6회/2문서(z-0.89)
1054,忠告,ちゅうこく,0.359,문학,3.54,N1,문학13회/4문서(z+0.36) 논설·행정6회/6문서(z-0.51); 일반빈도낮음→장르부상
1055,権威,けんい,0.345,학술,3.97,N1,학술42회/15문서(z+0.34) 논설·행정34회/16문서(z-0.58); 일반빈도낮음→장르부상
1056,放置,ほうち,0.339,논설·행정,4.5,N1,논설·행정216회/24문서(z+0.34) 학술6회/5문서(z-1.46)
1057,編,へん,0.335,학술,4.77,N1,학술112회/41문서(z+0.34) 법률88회/8문서(z-0.09) 논설·행정7회/6문서(z-2.32) 문학4회/2문서(z-2.62)
1058,代,だい,0.332,행정백서,5.42,N1,행정백서392회/41문서(z+0.33) 학술379회/76문서(z+0.13) 논설·행정755회/24문서(z-0.16) 법률7회/3문서(z-2.79) 문학4회/2문서(z-3.73)
1059,消去,しょうきょ,0.332,법률,3.83,N1,법률19회/4문서(z+0.33) 학술7회/4문서(z-0.11) 논설·행정10회/3문서(z-0.61); 일반빈도낮음→장르부상
1060,一筋,ひとすじ,0.329,논설·행정,3.43,N1,논설·행정16회/9문서(z+0.33) 문학6회/3문서(z-0.03); 일반빈도낮음→장르부상
1061,振動,しんどう,0.327,학술,4.07,N1,학술22회/9문서(z+0.33) 논설·행정11회/8문서(z-0.92)
1062,特許,とっきょ,0.324,논설·행정,4.12,N1,논설·행정78회/19문서(z+0.32) 학술17회/5문서(z+0.05)
1063,仏,ふつ,0.323,학술,4.19,N1,학술29회/16문서(z+0.32) 문학5회/2문서(z-1.46) 논설·행정5회/5문서(z-1.64)
1064,不在,ふざい,0.322,논설·행정,4.03,N1,논설·행정63회/14문서(z+0.32) 행정백서4회/4문서(z-0.72)
1065,幾多,いくた,0.321,논설·행정,3.01,N1,논설·행정6회/6문서(z+0.32) 문학3회/2문서(z+0.18); 일반빈도낮음→장르부상
1066,班,はん,0.319,논설·행정,4.28,N1,논설·행정112회/14문서(z+0.32)
1067,区間,くかん,0.318,논설·행정,3.79,N1,논설·행정171회/18문서(z+0.32) 학술17회/8문서(z-0.54); 일반빈도낮음→장르부상
1068,賛成,さんせい,0.317,논설·행정,4.33,N1,논설·행정848회/24문서(z+0.32) 문학16회/3문서(z-2.26) 학술5회/4문서(z-2.62)
1069,是正,ぜせい,0.313,논설·행정,3.51,N1,논설·행정604회/24문서(z+0.31) 행정백서28회/18문서(z-0.97) 법률36회/6문서(z-1.07) 학술6회/5문서(z-2.24); 일반빈도낮음→장르부상
1070,処置,しょち,0.312,법률,4.04,N1,법률30회/7문서(z+0.31) 행정백서14회/3문서(z+0.21) 논설·행정51회/12문서(z+0.16) 학술6회/3문서(z-0.59)
1071,連邦,れんぽう,0.309,학술,4.39,N1,학술45회/20문서(z+0.31) 논설·행정83회/18문서(z-0.05)
1072,偏,ぺん,0.305,학술,3.34,N1,학술4회/3문서(z+0.31); 일반빈도낮음→장르부상
1073,繊維,せんい,0.298,학술,4.02,N1,학술19회/6문서(z+0.30) 행정백서10회/4문서(z-0.01) 논설·행정15회/7문서(z-0.64)
1074,吐く,はく,0.296,문학,3.94,N1,문학30회/6문서(z+0.30) 논설·행정30회/16문서(z-0.04) 학술6회/2문서(z-0.41); 일반빈도낮음→장르부상
1075,法廷,ほうてい,0.294,논설·행정,3.92,N1,논설·행정47회/10문서(z+0.29) 법률14회/2문서(z-0.01) 학술6회/4문서(z-0.38); 일반빈도낮음→장르부상
1076,提携,ていけい,0.29,학술,4.09,N1,학술22회/4문서(z+0.29) 논설·행정34회/13문서(z-0.19)
1077,証言,しょうげん,0.289,법률,4.26,N1,법률48회/6문서(z+0.29) 논설·행정89회/19문서(z+0.20) 학술6회/4문서(z-0.96)
1078,惑星,わくせい,0.287,학술,4.44,N1,학술49회/9문서(z+0.29)
1079,恵み,めぐみ,0.285,논설·행정,3.65,N1,논설·행정36회/11문서(z+0.28); 일반빈도낮음→장르부상
1080,確信,かくしん,0.283,논설·행정,4.33,N1,논설·행정119회/23문서(z+0.28) 학술16회/11문서(z-0.35)
1081,大筋,おおすじ,0.278,논설·행정,3.07,N1,논설·행정22회/6문서(z+0.28); 일반빈도낮음→장르부상
1082,獲得,かくとく,0.277,학술,4.63,N1,학술75회/28문서(z+0.28) 논설·행정231회/22문서(z+0.26) 행정백서14회/10문서(z-0.82)
1083,妨害,ぼうがい,0.276,법률,4.25,N1,법률46회/4문서(z+0.28) 논설·행정48회/14문서(z-0.21) 학술7회/5문서(z-0.83)
1084,進行,しんこう,0.276,논설·행정,4.52,N1,논설·행정182회/23문서(z+0.28) 법률38회/10문서(z-0.27) 행정백서19회/9문서(z-0.40) 학술19회/12문서(z-0.55) 문학4회/3문서(z-2.19)
1085,後回し,あとまわし,0.275,논설·행정,3.57,N1,논설·행정29회/12문서(z+0.27); 일반빈도낮음→장르부상
1086,象徴,しょうちょう,0.275,논설·행정,4.26,N1,논설·행정100회/23문서(z+0.28) 학술13회/10문서(z-0.39)
1087,排水,はいすい,0.269,논설·행정,3.9,N1,논설·행정74회/14문서(z+0.27) 학술4회/3문서(z-1.04); 일반빈도낮음→장르부상
1088,言論,げんろん,0.267,논설·행정,3.66,N1,논설·행정44회/15문서(z+0.27) 학술12회/8문서(z+0.15); 일반빈도낮음→장르부상
1089,戦闘,せんとう,0.261,논설·행정,4.74,N1,논설·행정296회/22문서(z+0.26) 학술7회/6문서(z-1.66)
1090,日夜,にちや,0.261,논설·행정,2.92,N1,논설·행정17회/9문서(z+0.26); 일반빈도낮음→장르부상
1091,丈夫,じょうぶ,0.26,문학,3.63,N1,문학14회/4문서(z+0.26) 논설·행정6회/5문서(z-0.65); 일반빈도낮음→장르부상
1092,潜水,せんすい,0.259,논설·행정,4.04,N1,논설·행정59회/19문서(z+0.26)
1093,軒並み,のきなみ,0.258,논설·행정,3.35,N1,논설·행정12회/7문서(z+0.26); 일반빈도낮음→장르부상
1094,仕掛ける,しかける,0.257,논설·행정,3.55,N1,논설·행정19회/11문서(z+0.26) 문학7회/4문서(z-0.12); 일반빈도낮음→장르부상
1095,皺,しわ,0.257,문학,3.01,N1,문학8회/5문서(z+0.26); 일반빈도낮음→장르부상
1096,設定,せってい,0.25,논설·행정,5.19,N1,논설·행정820회/24문서(z+0.25) 법률195회/11문서(z-0.21) 행정백서62회/26문서(z-0.67) 학술52회/23문서(z-0.94)
1097,切れ目,きれめ,0.249,논설·행정,3.12,N1,논설·행정139회/22문서(z+0.25); 일반빈도낮음→장르부상
1098,役,やく,0.249,논설·행정,4.91,N1,논설·행정430회/23문서(z+0.25) 학술19회/15문서(z-1.21) 문학17회/4문서(z-1.79)
1099,人格,じんかく,0.248,학술,4.17,N1,학술25회/16문서(z+0.25) 논설·행정66회/21문서(z+0.13) 법률9회/4문서(z-0.69) 문학4회/2문서(z-1.59)
1100,占領,せんりょう,0.245,학술,3.92,N1,학술14회/6문서(z+0.24) 논설·행정26회/12문서(z-0.11) 문학6회/3문서(z-0.87); 일반빈도낮음→장르부상
1101,域外,いきがい,0.245,학술,2.26,N1,학술11회/3문서(z+0.24) 논설·행정16회/10문서(z-0.27); 일반빈도낮음→장르부상
1102,妊娠,にんしん,0.245,논설·행정,4.53,N1,논설·행정178회/19문서(z+0.24) 학술8회/5문서(z-1.20) 행정백서6회/3문서(z-1.29)
1103,沿線,えんせん,0.245,논설·행정,3.66,N1,논설·행정24회/6문서(z+0.24); 일반빈도낮음→장르부상
1104,阻止,そし,0.244,논설·행정,4.15,N1,논설·행정74회/18문서(z+0.24) 학술6회/5문서(z-0.77)
1105,見地,けんち,0.243,논설·행정,3.15,N1,논설·행정100회/19문서(z+0.24) 학술9회/6문서(z-0.69); 일반빈도낮음→장르부상
1106,悲惨,ひさん,0.238,논설·행정,4.09,N1,논설·행정64회/19문서(z+0.24) 문학7회/3문서(z-1.04)
1107,風土,ふうど,0.237,논설·행정,3.32,N1,논설·행정80회/16문서(z+0.24) 학술4회/2문서(z-1.13) 행정백서3회/2문서(z-1.22); 일반빈도낮음→장르부상
1108,受け取り,うけとり,0.235,논설·행정,4.05,N1,논설·행정58회/17문서(z+0.24) 행정백서13회/6문서(z+0.14) 법률8회/3문서(z-0.59)
1109,扱い,あつかい,0.235,논설·행정,4.72,N1,논설·행정272회/24문서(z+0.24) 학술8회/8문서(z-1.53) 행정백서3회/3문서(z-2.16) 문학3회/2문서(z-2.75)
1110,総合,そうごう,0.234,논설·행정,4.74,N1,논설·행정2258회/24문서(z+0.23) 학술77회/34문서(z-1.42) 행정백서58회/24문서(z-1.51) 법률36회/8문서(z-2.03) 문학4회/2문서(z-4.11)
1111,成年,せいねん,0.231,법률,3.27,N1,법률72회/9문서(z+0.23) 논설·행정99회/14문서(z-0.07) 행정백서3회/2문서(z-1.72); 일반빈도낮음→장르부상
1112,移住,いじゅう,0.229,논설·행정,4.29,N1,논설·행정100회/17문서(z+0.23) 학술6회/5문서(z-1.01)
1113,態々,わざわざ,0.227,논설·행정,3.25,N1,논설·행정158회/23문서(z+0.23) 문학39회/4문서(z-0.45); 일반빈도낮음→장르부상
1114,遥か,はるか,0.221,논설·행정,3.97,N1,논설·행정111회/21문서(z+0.22) 학술22회/14문서(z-0.14) 문학24회/4문서(z-0.55); 일반빈도낮음→장르부상
1115,総会,そうかい,0.22,법률,3.89,N1,법률238회/7문서(z+0.22) 논설·행정88회/23문서(z-0.96) 학술23회/5문서(z-1.22); 일반빈도낮음→장르부상
1116,冷蔵,れいぞう,0.219,행정백서,3.16,N1,행정백서6회/4문서(z+0.22) 논설·행정15회/9문서(z-0.09); 일반빈도낮음→장르부상
1117,無念,むねん,0.219,논설·행정,3.41,N1,논설·행정13회/8문서(z+0.22); 일반빈도낮음→장르부상
1118,喧しい,やかましい,0.215,문학,2.12,N1,문학5회/3문서(z+0.21); 일반빈도낮음→장르부상
1119,特権,とっけん,0.215,법률,3.9,N1,법률118회/4문서(z+0.21) 논설·행정44회/13문서(z-0.96) 학술7회/5문서(z-1.59); 일반빈도낮음→장르부상
1120,検事,けんじ,0.212,논설·행정,3.88,N1,논설·행정38회/9문서(z+0.21) 법률10회/2문서(z-0.18); 일반빈도낮음→장르부상
1121,同居,どうきょ,0.211,논설·행정,3.96,N1,논설·행정64회/15문서(z+0.21) 법률12회/9문서(z-0.40); 일반빈도낮음→장르부상
1122,名誉,めいよ,0.211,논설·행정,4.51,N1,논설·행정162회/22문서(z+0.21) 법률34회/7문서(z-0.33) 학술15회/8문서(z-0.71) 문학5회/3문서(z-2.01)
1123,彼此,かれこれ,0.211,논설·행정,1.4,N1,논설·행정10회/9문서(z+0.21); 일반빈도낮음→장르부상
1124,移民,いみん,0.211,논설·행정,4.17,N1,논설·행정74회/10문서(z+0.21) 학술6회/3문서(z-0.80)
1125,奮闘,ふんとう,0.209,논설·행정,3.67,N1,논설·행정34회/12문서(z+0.21); 일반빈도낮음→장르부상
1126,摘む,つむ,0.208,논설·행정,2.54,N1,논설·행정3회/3문서(z+0.21); 일반빈도낮음→장르부상
1127,野生,やせい,0.207,논설·행정,4.15,N1,논설·행정70회/12문서(z+0.21) 학술10회/8문서(z-0.39)
1128,製鉄,せいてつ,0.206,논설·행정,2.96,N1,논설·행정18회/7문서(z+0.21) 학술3회/3문서(z-0.28); 일반빈도낮음→장르부상
1129,沿岸,えんがん,0.205,논설·행정,3.85,N1,논설·행정150회/19문서(z+0.20) 학술25회/4문서(z-0.28); 일반빈도낮음→장르부상
1130,失調,しっちょう,0.204,학술,3.52,N1,학술7회/3문서(z+0.20) 논설·행정7회/4문서(z-0.56); 일반빈도낮음→장르부상
1131,悪戯,いたずら,0.203,문학,3.48,N1,문학22회/4문서(z+0.20) 논설·행정4회/3문서(z-1.28); 일반빈도낮음→장르부상
1132,奉仕,ほうし,0.202,논설·행정,3.97,N1,논설·행정46회/13문서(z+0.20); 일반빈도낮음→장르부상
1133,転落,てんらく,0.201,논설·행정,3.75,N1,논설·행정32회/11문서(z+0.20); 일반빈도낮음→장르부상
1134,鼠,ねずみ,0.198,학술,3.43,N1,학술6회/2문서(z+0.20) 문학6회/3문서(z-0.28) 논설·행정6회/4문서(z-0.57); 일반빈도낮음→장르부상
1135,強硬,きょうこう,0.191,논설·행정,3.49,N1,논설·행정15회/10문서(z+0.19); 일반빈도낮음→장르부상
1136,手掛かり,てがかり,0.187,학술,3.03,N1,학술4회/3문서(z+0.19) 논설·행정9회/4문서(z-0.03) 문학3회/3문서(z-0.51); 일반빈도낮음→장르부상
1137,掲載,けいさい,0.187,논설·행정,4.86,N1,논설·행정349회/22문서(z+0.19) 법률38회/5문서(z-0.79) 학술20회/11문서(z-1.09) 행정백서4회/4문서(z-2.18)
1138,生死,せいし,0.187,법률,3.49,N1,법률7회/2문서(z+0.19) 논설·행정6회/4문서(z-0.43); 일반빈도낮음→장르부상
1139,荒っぽい,あらっぽい,0.185,논설·행정,2.92,N1,논설·행정4회/4문서(z+0.18); 일반빈도낮음→장르부상
1140,突如,とつじょ,0.184,논설·행정,3.75,N1,논설·행정27회/13문서(z+0.18); 일반빈도낮음→장르부상
1141,取材,しゅざい,0.182,논설·행정,4.55,N1,논설·행정170회/19문서(z+0.18)
1142,振り出し,ふりだし,0.177,논설·행정,2.8,N1,논설·행정3회/3문서(z+0.18); 일반빈도낮음→장르부상
1143,区,く,0.176,논설·행정,5.25,N1,논설·행정845회/24문서(z+0.18) 행정백서80회/56문서(z-0.58) 법률38회/5문서(z-1.40) 학술5회/5문서(z-2.77) 문학4회/3문서(z-3.44)
1144,等級,とうきゅう,0.176,논설·행정,3.5,N1,논설·행정15회/8문서(z+0.18); 일반빈도낮음→장르부상
1145,不審,ふしん,0.172,논설·행정,3.97,N1,논설·행정44회/8문서(z+0.17) 문학14회/5문서(z-0.32); 일반빈도낮음→장르부상
1146,兵器,へいき,0.17,논설·행정,4.59,N1,논설·행정513회/23문서(z+0.17) 학술22회/5문서(z-1.32)
1147,華奢,きゃしゃ,0.168,문학,3.14,N1,문학4회/4문서(z+0.17); 일반빈도낮음→장르부상
1148,回覧,かいらん,0.161,논설·행정,2.81,N1,논설·행정3회/3문서(z+0.16); 일반빈도낮음→장르부상
1149,切っ掛け,きっかけ,0.16,논설·행정,2.91,N1,논설·행정176회/23문서(z+0.16) 학술11회/11문서(z-1.05) 행정백서7회/7문서(z-1.26); 일반빈도낮음→장르부상
1150,態と,わざと,0.16,문학,2.04,N1,문학37회/5문서(z+0.16) 논설·행정14회/8문서(z-0.82); 일반빈도낮음→장르부상
1151,舗装,ほそう,0.16,논설·행정,3.48,N1,논설·행정14회/10문서(z+0.16); 일반빈도낮음→장르부상
1152,面目,めんぼく,0.157,문학,3.02,N1,문학3회/2문서(z+0.16); 일반빈도낮음→장르부상
1153,浜,はま,0.155,논설·행정,4.0,N1,논설·행정46회/12문서(z+0.15) 문학15회/3문서(z-0.32)
1154,原爆,げんばく,0.154,논설·행정,3.94,N1,논설·행정40회/11문서(z+0.15); 일반빈도낮음→장르부상
1155,梯子,はしご,0.153,논설·행정,3.29,N1,논설·행정11회/6문서(z+0.15); 일반빈도낮음→장르부상
1156,雪崩,なだれ,0.147,논설·행정,3.12,N1,논설·행정6회/3문서(z+0.15); 일반빈도낮음→장르부상
1157,固有,こゆう,0.145,학술,3.73,N1,학술68회/29문서(z+0.14) 논설·행정140회/20문서(z-0.13) 행정백서4회/3문서(z-1.84) 법률4회/4문서(z-2.00); 일반빈도낮음→장르부상
1158,埋蔵,まいぞう,0.145,논설·행정,3.3,N1,논설·행정32회/7문서(z+0.14); 일반빈도낮음→장르부상
1159,見合い,みあい,0.145,논설·행정,3.52,N1,논설·행정15회/8문서(z+0.14); 일반빈도낮음→장르부상
1160,鉱山,こうざん,0.143,논설·행정,3.85,N1,논설·행정32회/8문서(z+0.14) 행정백서8회/2문서(z+0.12) 학술4회/3문서(z-0.56); 일반빈도낮음→장르부상
1161,君主,くんしゅ,0.141,학술,3.62,N1,학술25회/6문서(z+0.14); 일반빈도낮음→장르부상
1162,染める,そめる,0.14,논설·행정,3.3,N1,논설·행정9회/5문서(z+0.14) 문학3회/2문서(z-0.32); 일반빈도낮음→장르부상
1163,消息,しょうそく,0.139,문학,3.4,N1,문학7회/4문서(z+0.14); 일반빈도낮음→장르부상
1164,無線,むせん,0.134,논설·행정,4.43,N1,논설·행정120회/14문서(z+0.13)
1165,生温い,なまぬりい,0.134,논설·행정,2.18,N1,논설·행정7회/4문서(z+0.13) 문학4회/3문서(z+0.07); 일반빈도낮음→장르부상
1166,遠方,えんぽう,0.134,논설·행정,3.43,N1,논설·행정12회/7문서(z+0.13); 일반빈도낮음→장르부상
1167,大部,たいぶ,0.132,논설·행정,2.13,N1,논설·행정6회/4문서(z+0.13); 일반빈도낮음→장르부상
1168,異論,いろん,0.132,논설·행정,3.51,N1,논설·행정60회/21문서(z+0.13) 학술6회/5문서(z-0.74); 일반빈도낮음→장르부상
1169,生理,せいり,0.13,학술,4.19,N1,학술99회/21문서(z+0.13) 논설·행정41회/5문서(z-1.23)
1170,鉛,なまり,0.13,논설·행정,3.5,N1,논설·행정14회/4문서(z+0.13) 문학4회/2문서(z-0.45); 일반빈도낮음→장르부상
1171,没落,ぼつらく,0.128,학술,3.32,N1,학술3회/2문서(z+0.13) 논설·행정3회/2문서(z-0.63); 일반빈도낮음→장르부상
1172,滅びる,ほろびる,0.127,논설·행정,3.31,N1,논설·행정9회/6문서(z+0.13); 일반빈도낮음→장르부상
1173,庶民,しょみん,0.124,논설·행정,3.97,N1,논설·행정41회/13문서(z+0.12); 일반빈도낮음→장르부상
1174,野心,やしん,0.124,논설·행정,3.55,N1,논설·행정62회/17문서(z+0.12) 학술5회/5문서(z-0.90) 행정백서3회/3문서(z-1.15); 일반빈도낮음→장르부상
